code;latitude;longitude
101;40.41684075966320;-3.7116049269648500
201;40.406598370986800;-3.719600393882540
301;40.40460617767640;-3.6783618407719800
401;40.424699775439900;-3.6854620809356900
501;40.44905998434150;-3.6862850484268200
601;40.45307086991980;-3.707870111027800
701;40.43545682043230;-3.7138092021667500
801;40.5248016240405;-3.775465171114020
901;40.420716225749200;-3.7479042351441300
1001;40.401762426676100;-3.7341831723265200
1101;40.39233087847130;-3.713794431948360
1201;40.369214698851000;-3.714337459586900
1301;40.38006910194390;-3.6726237484629800
1401;40.39919892708220;-3.6314244773949100
1501;40.4247699366125;-3.6516487304303700
1601;40.45279632384670;-3.619071772800480
1701;40.34010304818810;-3.7162761295825400
1801;40.375690647308800;-3.6256551309507300
1901;40.4006416105767;-3.6149510617344600
2001;40.4354663909558;-3.6280461239701300
2101;40.45624399701970;-3.5946216044147100
102;40.40983630217430;-3.7027147791833700
202;40.401931609279600;-3.706197550258860
302;40.402016196416700;-3.6706458456931400
402;40.42568658521790;-3.671782352010290
502;40.4442988220295;-3.6730468584006500
602;40.45153980179040;-3.697517225782830
702;40.434972212054000;-3.707633726661510
802;40.480329723393300;-3.7398178454963000
902;40.42934906571420;-3.7212816737471000
1002;40.410056282167800;-3.7309349388993200
1102;40.390972942546400;-3.720989002013610
1202;40.369884884605700;-3.700336635711570
1302;40.385331033709700;-3.666642847759890
1402;40.40914083589260;-3.626620184626150
1502;40.42965771117310;-3.6403556861646500
1602;40.45356720822670;-3.6302250731562900
1702;40.34129336996030;-3.687948435563090
1802;40.38398728874180;-3.611844357706070
1902;40.39710765188740;-3.616976257946560
2002;40.430179534484800;-3.6156733866701500
2102;40.453246469569700;-3.5793221712992300
103;40.41486691212040;-3.697085411616100
203;40.394932822365900;-3.70041421872109
303;40.41221215218;-3.6658674641479500
403;40.42463466677130;-3.663165192294350
503;40.449007324528200;-3.672843705877980
603;40.46155945233560;-3.6929484931675900
703;40.43278459508220;-3.701046287435550
803;40.4006416105767;-3.6149510617344600
903;40.45371509880160;-3.735694827554840
1003;40.40398727441310;-3.7477312025971500
1103;40.39560241799020;-3.7304723446722500
1203;40.37175766992460;-3.690007906202330
1303;40.38455034543550;-3.66209650561238
1403;40.4107346072239;-3.6470220119785200
1503;40.43599303510200;-3.647214589954640
1603;40.4611239751092;-3.645513661790040
1703;40.34037823675980;-3.6753415606452600
1803;40.369852422274000;-3.6073463354406200
1903;40.39833948998850;-3.606320001880340
2003;40.425141812091000;-3.622587375200840
2103;40.47410905074280;-3.579923760142530
104;40.423300803477400;-3.696125745690800
204;40.38923683110090;-3.686400376643440
304;40.42002496073790;-3.6739712484833300
404;40.43526148413760;-3.6695867334597900
504;40.45519932329120;-3.676800141706610
604;40.46933845156890;-3.694038022969230
704;40.43383526083190;-3.69263572414217
804;40.476327459795000;-3.7105462681041000
904;40.4643652644244;-3.718042923843720
1004;40.39242757596380;-3.7575680988164000
1104;40.38479943971460;-3.744067751742960
1204;40.38368315921180;-3.6985849650154600
1304;40.38858387137800;-3.6430154468638000
1404;40.40970276532460;-3.659276766070700
1504;40.44142175529890;-3.6457967733806300
1604;40.47415634457840;-3.6529286349771600
1704;40.35612825922080;-3.6898896669827900
1904;40.40271917097580;-3.5525601965860200
2004;40.420364065737800;-3.617686805125
2104;40.474858969118200;-3.599818702232120
105;40.426312792643500;-3.7065280906969300
205;40.39716186694680;-3.693589729658080
305;40.41511238787490;-3.6931104859673500
405;40.43127672571050;-3.6763503740307800
505;40.464566146598200;-3.679224301310680
605;40.46728406545310;-3.703379003648670
705;40.4419631105296;-3.699996089835230
805;40.482790111014;-3.6970320272335600
905;40.47037672605150;-3.772302375819060
1005;40.38745720589080;-3.7872281859682800
1105;40.381207539061700;-3.7390648812545200
1205;40.389671255346;-3.7064145315238500
1305;40.391243060110300;-3.6474740266851000
1405;40.40118092934210;-3.6457780236718800
1505;40.44214162914670;-3.6549877507280700
1605;40.4782992564213;-3.6598388981994900
1705;40.35444079398080;-3.6986782824337500
2005;40.42897717390680;-3.6053237963624100
2105;40.46619716305360;-3.594338057669690
106;40.417358282954400;-3.704341824597090
206;40.404306563842400;-3.6980545855498500
306;40.41020193090540;-3.6759056819950200
406;40.435325321045800;-3.6856622138414800
506;40.47388738186140;-3.6787476965570100
606;40.4604725752162;-3.706071171216380
706;40.44251448622730;-3.711524234330550
806;40.49629017415990;-3.692631873642680
906;40.47260583962000;-3.8206576942208000
1006;40.36993860030060;-3.7698679288918600
1106;40.36756789267490;-3.7490701968642500
1206;40.38176639340840;-3.7150536343366800
1306;40.401315893412100;-3.6630677057713900
1406;40.4045824651557;-3.6433410331649700
1506;40.44944546662210;-3.660586667124920
1606;40.50038588610500;-3.6389149592379200
2006;40.44462006185290;-3.57704448520292
207;40.40245952652250;-3.6893512123991500
807;40.49040602600230;-3.7065472278227100
907;40.455544063592400;-3.7843653526623000
1007;40.382538990377700;-3.7701799057244800
1107;40.375465243904500;-3.7303119461686400
1207;40.378279664445000;-3.709140211508440
1507;40.45751828563700;-3.662131242764430
2007;40.44374285536610;-3.6130571442314200
808;40.55394238636450;-3.702937437281420
1508;40.46584182962130;-3.6654364490834500
2008;40.44440268075240;-3.6322083386070100
1509;40.47363501897350;-3.670442108388780
